Stock,Actual Comparisons,Theoretical Comparisons,Difference
CMCSA.csv,173889,172897.36334483678,991.6366551632236
PCG.csv,274733,208138.51837908398,66594.48162091602
PNW.csv,213033,204885.63331828607,8147.366681713931
ICE.csv,72492,62757.64389996102,9734.356100038982
BEN.csv,151532,157151.1325974228,-5619.132597422809
UHS.csv,182593,167030.20826486137,15562.791735138628
BKR.csv,141773,141545.15727943307,227.84272056692862
EMN.csv,119163,112417.47156348905,6745.528436510955
SBAC.csv,99224,89087.22487783646,10136.77512216354
ROK.csv,173193,164872.8506268706,8320.149373129389
PTC.csv,151020,129798.26613731464,21221.73386268536
NRG.csv,81437,70699.30541712561,10737.694582874392
NSC.csv,169649,163018.37242518962,6630.62757481038
NKE.csv,172268,169704.24980638712,2563.750193612883
FIS.csv,87969,80705.72041171635,7263.279588283651
FANG.csv,34770,35767.680521397095,-997.6805213970947
VTR.csv,104753,97972.01201962653,6780.987980373466
MAS.csv,181510,172897.36334483678,8612.636655163224
RF.csv,228758,172897.36334483678,55860.63665516322
ETSY.csv,26998,26508.826051630935,489.17394836906533
AMCR.csv,1004938,37345.700449869306,967592.2995501307
TAP.csv,194924,194385.13336215416,538.8666378458438
MAR.csv,100225,94260.59979333749,5964.400206662511
XYL.csv,38625,39567.82810431012,-942.8281043101233
CMI.csv,226246,204885.63331828607,21360.36668171393
MTD.csv,108103,95696.56096554048,12406.439034459516
BF-B.csv,182048,172897.36334483678,9150.636655163224
KR.csv,320427,255633.00994964258,64793.99005035742
PLD.csv,103280,95613.0123120979,7666.987687902103
IBM.csv,265823,255633.00994964258,10189.990050357417
USB.csv,430056,203982.95223108205,226073.04776891795
BSX.csv,121074,119201.96435037618,1872.0356496238237
LKQ.csv,71134,71346.77491540686,-212.77491540685878
LIN.csv,119670,118860.0603637416,809.9396362583939
ITW.csv,268200,204632.84305455748,63567.15694544252
EOG.csv,137523,130591.93128086736,6931.068719132643
KMB.csv,179530,172897.36334483678,6632.636655163224
PEAK.csv,189325,149764.96879304395,39560.031206956046
SPGI.csv,223718,204885.63331828607,18832.36668171393
NEM.csv,198430,172897.36334483678,25532.636655163224
WFC.csv,249882,208138.51837908398,41743.48162091602
CTVA.csv,13468,12156.535332697284,1311.4646673027164
EL.csv,103434,104156.72274603204,-722.7227460320428
GS.csv,115515,89584.90943343447,25930.09056656553
GD.csv,291819,255633.00994964258,36185.99005035742
CNP.csv,353501,255633.00994964258,97867.99005035742
PM.csv,56472,53510.53018625838,2961.46981374162
MCO.csv,117756,108651.37464100556,9104.625358994439
CLX.csv,208474,204885.63331828607,3588.366681713931
CAH.csv,177683,157766.78753727605,19916.212462723954
PANW.csv,36965,36653.410943331175,311.5890566688249
MPWR.csv,68711,66763.83107599709,1947.1689240029082
DGX.csv,109130,99564.79225891859,9565.207741081409
AVB.csv,118310,111381.31667428133,6928.683325718666
DIS.csv,289619,255633.00994964258,33985.99005035742
CBRE.csv,81333,68583.36237626578,12749.63762373422
GE.csv,248989,255633.00994964258,-6644.009949642583
HII.csv,39662,41743.29859383833,-2081.298593838328
LDOS.csv,63787,59096.49873868112,4690.501261318881
ALL.csv,123200,114714.11843070686,8485.881569293138
ETN.csv,211116,208138.51837908398,2977.48162091602
ALGN.csv,82239,82315.69862010924,-76.6986201092368
NFLX.csv,81869,76957.10472517773,4911.8952748222655
LEN.csv,211013,172897.36334483678,38115.63665516322
FITB.csv,225667,172897.36334483678,52769.63665516322
WST.csv,219606,172897.36334483678,46708.63665516322
GWW.csv,241480,204885.63331828607,36594.36668171393
TRGP.csv,49740,42843.59500102596,6896.404998974038
NTRS.csv,183095,172897.36334483678,10197.636655163224
FICO.csv,327438,140258.04789657152,187179.95210342848
AXON.csv,86770,80722.1315441988,6047.868455801203
CVS.csv,235609,204885.63331828607,30723.36668171393
AOS.csv,233502,157063.20170521407,76438.79829478593
FE.csv,103519,95763.4054216078,7755.594578392207
JPM.csv,182979,172897.36334483678,10081.636655163224
ABT.csv,178616,172897.36334483678,5718.636655163224
OMC.csv,184333,172897.36334483678,11435.636655163224
COF.csv,118919,108448.18407450814,10470.815925491857
TSCO.csv,112870,111636.0164027414,1233.9835972586006
PH.csv,173441,172897.36334483678,543.6366551632236
HST.csv,209822,172897.36334483678,36924.63665516322
JBHT.csv,171677,156412.6674461944,15264.332553805609
MRNA.csv,16603,13679.385093191502,2923.614906808498
TSLA.csv,47870,44561.54031582324,3308.4596841767634
MOH.csv,85216,72416.4888842871,12799.5111157129
ATO.csv,208440,155990.8450012833,52449.154998716695
COP.csv,182305,164872.8506268706,17432.14937312939
DHR.csv,212792,178339.1558360498,34452.84416395021
CNC.csv,78011,78755.36320441101,-744.3632044110127
