File Count,Total Volume,Actual Comparisons,Estimated Theoretical Comparisons,Sorting Time (ms)
492,4106640,280854085,116473831,303.7165
493,4122177,278204585,116868346,300.825417
494,4131059,285396753,116950168,314.350667
495,4142031,293137927,117323828,319.34775
496,4146877,283539297,117890328,317.666292
497,4157849,267652051,118047675,298.1845
498,4164857,298359894,118569512,327.495458
499,4173500,293251093,118259881,318.026208
500,4181081,291646682,118789599,311.9935
501,4191007,290480588,118884772,313.971167
502,4197039,302971378,118942763,319.060625
503,4208011,286443030,119557124,303.557625
