File Name,Array Size,Actual Comparisons,Estimated Theoretical Comparisons
JNJ.csv,15537,425910,420790
WM.csv,8882,228322,226237
DOV.csv,10972,289840,286598
CRM.csv,4846,113816,115103
PGR.csv,10972,288030,286593
WAT.csv,7008,171946,173883
IEX.csv,8643,221748,219409
BWA.csv,7581,191470,189713
LRCX.csv,9926,258058,256262
BLK.csv,6032,149030,147183
PPL.csv,10972,291324,286616
