File Name,Array Size,Actual Comparisons,Estimated Theoretical Comparisons,Sorting Time (ms)
AFL.csv,10972,189816,189884,0.534292
CSX.csv,10811,190315,187363,0.517458
NI.csv,12758,223660,223733,0.598417
CPT.csv,7597,125718,125994,0.341541
PFG.csv,5516,90655,89949,0.240959
NCLH.csv,2687,40649,41151,0.098375
ZION.csv,10972,189260,189813,0.514208
RJF.csv,10139,174002,175118,0.457333
HBAN.csv,10972,188051,189981,0.491792
UNH.csv,9811,171013,169711,0.47125
PRU.csv,5480,89989,89304,0.245167
GPC.csv,10972,189503,189893,0.530667
WTW.csv,5605,91736,91316,0.2495
WMB.csv,10519,182632,182694,0.500375
EQR.csv,7582,126811,125815,0.339083
DVA.csv,7021,116293,115920,0.326041
AIG.csv,12792,201631,224363,0.51725
MA.csv,4361,71010,71719,0.182042
HON.csv,15537,273751,273846,0.754916
VICI.csv,1440,20641,20618,0.051542
O.csv,7283,121418,120905,0.306375
NWSA.csv,2583,39405,39728,0.106833
TTWO.csv,6654,111146,109870,0.315791
AES.csv,8121,135238,135213,0.383
SLB.csv,10519,183244,182743,0.5525
TT.csv,10971,189912,189844,0.579834
TGT.csv,12758,224972,223789,0.71425
AAPL.csv,10749,185283,186258,0.530833
MKC.csv,12758,223089,223773,0.644292
OTIS.csv,884,11522,11900,0.029917
CEG.csv,421,5687,5265,0.012625
TDY.csv,5995,98799,97836,0.282958
WY.csv,12708,222772,223069,0.675
APD.csv,10972,190300,189959,0.5745
GRMN.csv,5731,93568,93633,0.251083
AEE.csv,6472,107221,107079,0.296791
BX.csv,4091,64339,64035,0.189833
HLT.csv,2460,37432,37592,0.098708
DLTR.csv,7187,120638,119573,0.347
STE.csv,7886,131936,131055,0.385333
HAS.csv,10972,190329,189863,0.535834
TMUS.csv,4136,68914,68510,0.195292
WMT.csv,12878,226760,225910,0.637625
NTAP.csv,7006,115849,115605,0.311833
KIM.csv,8016,132399,133470,0.352458
BAX.csv,10564,182862,183441,0.506708
LMT.csv,11781,204622,204362,0.569709
KEY.csv,9040,155187,156909,0.39525
KEYS.csv,2246,34711,34511,0.087708
BMY.csv,12938,227679,226899,0.614208
PSA.csv,10801,186309,187261,0.478917
WYNN.csv,5262,86611,86107,0.225708
RHI.csv,10972,188800,189918,0.518125
EFX.csv,10972,188969,189897,0.512208
NUE.csv,10972,190408,189907,0.54725
PKG.csv,5950,96670,97151,0.27625
WAB.csv,7116,119060,117551,0.316042
CTSH.csv,6356,105819,105171,0.332292
